,C1-Ang [Deg],C1-Mag [Arms],C2-Ang [Deg],C2-Mag [Arms],C3-Ang [Deg],C3-Mag [Arms],L1-Ang [Deg],L1-Mag [Vrms],L2-Ang [Deg],L2-Mag [Vrms],L3-Ang [Deg],L3-Mag [Vrms],Active-Power-1 [W],Reactive-Power-1 [VAR],Apparent-Power-1 [VA],Active-Power-2 [W],Reactive-Power-2 [VAR],Apparent-Power-2 [VA],Active-Power-3 [W],Reactive-Power-3 [VAR],Apparent-Power-3 [VA],Voltage-Sag [-],Voltage-Swell [-]
1520863088508333314,107.81925964355469,198.00013732910156,352.10076904296875,177.33653259277344,229.8349151611328,198.92977905273438,127.62577056884766,281.4940185546875,7.86239767074585,281.2815856933594,247.84271240234375,282.1385192871094,52438.647692025326,18885.806476152506,55735.85433114879,48005.962916386,13549.600561205047,49881.50108905741,53376.40264100611,17351.075616580947,56125.753304050304,False,False
1520863088516666647,107.79953002929688,197.5873565673828,352.0546875,177.0837860107422,229.76937866210938,198.45068359375,127.5780258178711,281.48504638671875,7.814066410064697,281.27301025390625,247.79380798339844,282.1258239746094,52336.8668497869,18820.245399762825,55617.88622879888,47936.61278355891,13527.994451507879,49808.88955840003,53240.43018092682,17323.964641454968,55988.06262721122,False,False
1520863088524999980,107.765380859375,198.20599365234375,352.0,177.50491333007812,229.74942016601562,198.81158447265625,127.52262115478516,281.46405029296875,7.759215831756592,281.2510986328125,247.7395782470703,282.11138916015625,52503.81479064186,18858.28605208602,55787.86176573113,48046.907397091294,13558.972596389118,49923.451886806644,53344.894875894526,17322.676952708403,56087.012276712805,False,False
1520863088533333313,107.80777740478516,198.94281005859375,351.97564697265625,178.3380889892578,229.68443298339844,199.41873168945312,127.4631576538086,281.4545593261719,7.7012529373168945,281.22509765625,247.6851806640625,282.10076904296875,52730.78323926388,18834.037482705076,55993.36093615182,48275.95016253322,13593.040091748144,50153.14649183304,53502.577402539086,17384.81309085947,56256.17757116817,False,False
1520863088541666646,107.84634399414062,199.0518798828125,351.92767333984375,178.64352416992188,229.61752319335938,199.43905639648438,127.40963745117188,281.466552734375,7.647626876831055,281.2225036621094,247.63388061523438,282.09857177734375,52792.161074219744,18760.34196037738,56026.44644591212,48359.528167970995,13611.424186371216,50238.57913008798,53502.874826994834,17401.026566230943,56261.47296606935,False,False
1520863088549999979,107.79142761230469,198.6124725341797,351.84283447265625,178.2727508544922,229.55441284179688,198.92137145996094,127.36128234863281,281.4585876464844,7.598349094390869,281.21820068359375,247.58279418945312,282.0869140625,52671.98775027129,18724.43066120284,55901.18600844639,48249.980241039375,13612.915297135367,50133.5422262149,53358.1486123973,17366.33937425832,56113.11581622064,False,False
1520863088558333312,107.80941772460938,199.0601806640625,351.7892150878906,178.8854522705078,229.51177978515625,199.25881958007812,127.30471801757812,281.4296875,7.541787147521973,281.19097900390625,247.52517700195312,282.06353759765625,52809.67164285156,18696.010748070126,56021.44443798066,48411.824247290984,13655.89267031204,50300.97545350064,53448.78272463616,17380.38040397954,56203.64754828997,False,False
1520863088566666645,107.83560180664062,199.89886474609375,351.7204284667969,179.75880432128906,229.4954833984375,199.9193878173828,127.24539947509766,281.4283142089844,7.48267936706543,281.1842346191406,247.46697998046875,282.0644836425781,53059.87001198872,18695.528995160777,56257.20051778294,48644.694189306654,13730.451770825977,50545.34180913354,53638.89025529364,17398.83537387033,56390.15889485041,False,False
1520863088574999978,107.7640380859375,199.66122436523438,351.6543884277344,179.46104431152344,229.45831298828125,199.69728088378906,127.1933822631836,281.4438781738281,7.430612564086914,281.1927795410156,247.4158935546875,282.078857421875,52993.34933210174,18692.416209961684,56193.429306286394,48562.248330912036,13719.968359195298,50463.149869290646,53586.248520946254,17367.376687277796,56330.38082195446,False,False
1520863088583333311,107.70105743408203,199.11021423339844,351.6330871582031,178.8731689453125,229.42767333984375,199.1861114501953,127.14263916015625,281.4438781738281,7.379401206970215,281.18780517578125,247.36553955078125,282.07421875,52843.119628547196,18652.117226584694,56038.350877869416,48409.444744248736,13649.513513610527,50296.953780569136,53454.16091315896,17304.24466544975,56185.26677316427,False,False
1520863088591666644,107.64765167236328,199.46534729003906,351.580810546875,178.9185791015625,229.44937133789062,199.37913513183594,127.0870132446289,281.4293518066406,7.323086738586426,281.176025390625,247.30906677246094,282.0608215332031,52935.362305384355,18682.369549876363,56135.403395722155,48420.66783753063,13648.99436407609,50307.61494031548,53527.00080290235,17247.178066970646,56237.042651865166,False,False
1520863088599999977,107.58466339111328,200.069580078125,351.52154541015625,179.3327178955078,229.44740295410156,199.9398956298828,127.03005981445312,281.4171447753906,7.266462326049805,281.173095703125,247.2511749267578,282.05950927734375,53091.44040473323,18743.74265677879,56303.00998199731,48531.60980718395,13682.681643430395,50423.535451535136,53694.15333725558,17243.205988888658,56394.94884632807,False,False
1520863088608333310,107.55077362060547,200.03567504882812,351.4187316894531,179.42970275878906,229.3592987060547,199.7300262451172,126.97592163085938,281.4115905761719,7.2144694328308105,281.1680603027344,247.1983184814453,282.062255859375,53088.015035363765,18721.436138875557,56292.35748746897,48544.824711452304,13732.900408122523,50449.90148538491,53627.70793888716,17258.268680273897,56336.30176554993,False,False
1520863088616666643,107.48402404785156,199.615478515625,351.2972412109375,178.9517364501953,229.27220153808594,199.11476135253906,126.92456817626953,281.41436767578125,7.164096832275391,281.1644592285156,247.14833068847656,282.0621643066406,52971.99863743093,18696.529041680315,56174.66366477311,48397.85301879526,13756.227166675675,50314.86820702301,53451.33673393898,17239.722314344082,56162.74053249742,False,False
