,C1-Max [A],C1-Max-Time [s],C1-Mean [A],C1-Min [A],C1-Min-Time [s],C2-Max [A],C2-MaxTime [s],C2-Mean [A],C2-Min [A],C2-MinTime [s],C3-Max [A],C3-Max-Time [s],C3-Mean [A],C3-Min [A],C3-Min-Time [s],Duration [s],L1-Max [V.p.u.],L1-Max [V],L1-Max-Time [s],L1-Mean [V.p.u.],L1-Mean [V],L1-Min [V.p.u.],L1-Min [V],L1-Min-Time [s],L2-Max [V.p.u.],L2-Max [V],L2-Max-Time [s],L2-Mean [V.p.u.],L2-Mean [V],L2-Min [V.p.u.],L2-Min [V],L2-Min-Time [s],L3-Max [V.p.u.],L3-Max [V],L3-Max-Time [s],L3-Mean [V.p.u.],L3-Mean [V],L3-Min [V.p.u.],L3-Min [V],L3-Min-Time [s],Max-C1-Slope [A/s],Max-C2-Slope [A/s],Max-C3-Slope [A/s],Max-L1-Slope [V.p.u./s],Max-L2-Slope [V.p.u./s],Max-L3-Slope [V.p.u./s],Mean-C1-Slope [A/s],Mean-C2-Slope [A/s],Mean-C3-Slope [A/s],Mean-L1-Slope [V.p.u./s],Mean-L2-Slope [V.p.u./s],Mean-L3-Slope [V.p.u./s],Min-C1-Slope [A/s],Min-C2-Slope [A/s],Min-C3-Slope [A/s],Min-L1-Slope [V.p.u./s],Min-L2-Slope [V.p.u./s],Min-L3-Slope [V.p.u./s],PV-Generation [-],StartTime [s],Voltage-Sag [-],Voltage-Swell [-]
1,117.52509307861328,09:17:55.783333,116.34943564993436,114.73731994628906,09:17:56.000000,122.59036254882812,09:17:55.791667,121.15921845983286,119.7060546875,09:17:56.000000,138.63534545898438,09:17:55.758333,137.33428905049308,136.04527282714844,09:17:55.991667,0.5,1.0272194244119595,284.6712646484375,09:17:56.000000,1.0268168946997025,284.55971239433916,1.0266567067355834,284.51531982421875,09:17:55.700000,1.025105213713575,284.0853576660156,09:17:56.000000,1.0246513803099224,283.95958772252817,1.0245009804669458,283.91790771484375,09:17:55.733333,1.0277778473741714,284.8260192871094,09:17:56.000000,1.0264424963581136,284.4559561307313,1.026043443577122,284.3453674316406,09:17:55.991667,56.39007568359375,53.609619140625,106.7156982421875,0.03450307286930589,0.054932697785409636,0.208128455645947,-2.56988525390625,-1.9640045166015625,-0.291748046875,0.0004966451507741911,0.0006179983561296586,0.0023061513852578957,-48.7353515625,-68.37799072265625,-57.1856689453125,-0.007241548805966919,-0.021539643346215467,-0.0699840191175197,True,09:17:55.500000,True,False
2,120.39033508300781,09:17:56.025000,113.53698539733887,108.89774322509766,09:17:56.016667,119.7060546875,09:17:56.000000,107.77644538879395,96.92239379882812,09:17:56.016667,136.9345703125,09:17:56.000000,113.88379287719727,86.5445785522461,09:17:56.025000,0.025,1.028007008917134,284.8895263671875,09:17:56.008333,1.026886776775773,284.5790786743164,1.0247054749336837,283.9745788574219,09:17:56.025000,1.025105213713575,284.0853576660156,09:17:56.000000,0.9686264325941908,268.4335060119629,0.8988451873047214,249.0951690673828,09:17:56.025000,1.0277778473741714,284.8260192871094,09:17:56.000000,0.9728597681350513,269.60668182373047,0.9001908093490418,249.46807861328125,09:17:56.025000,1379.1110229492188,954.7723388671875,-1005.6097412109375,0.09451014062094051,-2.5623850443770566,-2.064409633420748,226.12060546875,-593.0889892578125,-2015.5996704101565,-0.10055797913103333,-5.05040105635415,-5.103481521005186,-553.773193359375,-1521.1331176757812,-3006.3546752929688,-0.349166868795737,-6.833841679487908,-6.921414204920651,True,09:17:56.000000,True,False
3,137.35397338867188,09:17:56.066667,133.08040509905135,120.39033508300781,09:17:56.025000,135.17823791503906,09:17:56.075000,125.18930380684989,104.87882995605469,09:17:56.025000,106.91560363769531,09:17:56.075000,94.42298562186105,86.5445785522461,09:17:56.025000,0.05,1.0247054749336837,283.9745788574219,09:17:56.025000,1.0208250040419773,282.8991917201451,1.0189528704921553,282.38037109375,09:17:56.066667,0.9105710233628505,252.3447265625,09:17:56.075000,0.8931407371491138,247.5143062046596,0.8859666609770294,245.5261688232422,09:17:56.050000,0.9021659373810342,250.01544189453125,09:17:56.075000,0.8891724291272413,246.4145769391741,0.8812555247203008,244.2205810546875,09:17:56.050000,1368.4002685546875,2097.8952026367188,922.130126953125,0.010214812458051876,1.8770213435612335,1.5695726674305286,335.662841796875,605.9881591796875,407.4205017089844,-0.11334962008755882,0.23451672116258104,0.03950256063984874,-21.6595458984375,-103.0389404296875,130.48553466796875,-0.3242971701591864,-1.453503061705692,-1.7520385541327022,True,09:17:56.025000,True,False
4,137.17347717285156,09:17:56.075000,128.9500300089518,120.90171813964844,09:17:56.116667,149.53382873535156,09:17:56.091667,137.1527468363444,125.2061996459961,09:17:56.116667,157.4232635498047,09:17:56.100000,140.60827128092447,106.91560363769531,09:17:56.075000,0.041666666666666664,1.0245663922672916,283.93603515625,09:17:56.116667,1.021402821387994,283.059321085612,1.0190379939293057,282.4039611816406,09:17:56.075000,1.0225758473126587,283.3843994140625,09:17:56.116667,0.9871617260826997,273.5701548258464,0.9105710233628505,252.3447265625,09:17:56.075000,1.025169744546913,284.1032409667969,09:17:56.116667,0.9809871567978065,271.8590087890625,0.9021659373810342,250.01544189453125,09:17:56.075000,-317.24761962890625,1348.5809326171875,3055.01953125,0.25584603363563047,5.835102596994891,6.0157977400109335,-390.522216796875,-239.32891845703125,890.3448486328125,0.1326815601116632,2.688115774795402,2.952091371981088,-420.9539794921875,-1357.584228515625,-1108.4747314453125,0.020138905803455443,0.13439151707424007,0.25830393158802073,True,09:17:56.075000,True,False
5,120.90171813964844,09:17:56.116667,116.8619436045162,115.80522918701172,09:17:56.300000,125.2061996459961,09:17:56.116667,121.54856972616227,120.45777130126953,09:17:56.366667,144.0133056640625,09:17:56.116667,138.0892834272541,136.63841247558594,09:17:56.375000,0.5,1.0292095288830885,285.2227783203125,09:17:56.300000,1.0285669410769254,285.04469924676613,1.0245663922672916,283.93603515625,09:17:56.116667,1.0269589885402122,284.5990905761719,09:17:56.316667,1.0262815556004652,284.4113549404457,1.0225758473126587,283.3843994140625,09:17:56.116667,1.0286940530625177,285.0799255371094,09:17:56.316667,1.0281488048897003,284.92882200147284,1.025169744546913,284.1032409667969,09:17:56.116667,54.378662109375,94.28375244140625,46.0125732421875,0.10841180000757772,0.11533620069065559,0.15048678431085996,-8.778594970703125,-7.5391693115234375,-11.938507080078125,0.008052919420358101,0.007539315654679426,0.005989033962307129,-206.86798095703125,-170.6781005859375,-299.9322509765625,-0.005801167747845761,-0.009620159727634884,-0.009976951365885079,True,09:17:56.116667,True,False
