,Current,Voltage
1528509521541666646,2.5050625801086426,1.0161213893518883
1528509521549999979,2.511876106262207,1.0161325708375988
1528509521558333312,2.516850709915161,1.0161293307479895
1528509521566666645,2.515559673309326,1.016140575764869
1528509521574999978,2.5134999752044678,1.016138542767467
1528509521583333311,2.515333652496338,1.016148263036295
1528509521591666644,2.5156168937683105,1.0161684024168078
1528509521599999977,2.5133018493652344,1.0161631293297966
1528509521608333310,2.513148307800293,1.0161468653505812
1528509521616666643,2.5133745670318604,1.0161480089116197
1528509521624999976,2.5152359008789062,1.0161910195129042
1528509521633333309,2.5182392597198486,1.0161992785648495
1528509521641666642,2.516688823699951,1.0161710707258977
1528509521649999975,2.5127127170562744,1.0161714519129108
1528509521658333308,2.51529860496521,1.016168338885639
1528509521666666641,2.519286632537842,1.016155950307721
1528509521674999974,2.516540765762329,1.0161354297401952
1528509521683333307,2.515007257461548,1.0161262812518865
1528509521691666640,2.5169949531555176,1.016131173151885
1528509521699999973,2.5162417888641357,1.0161178951376038
1528509521708333306,2.5097553730010986,1.0161159892025393
1528509521716666639,2.507152795791626,1.0161440064479847
1528509521724999972,2.5097732543945312,1.0161633834544719
1528509521733333305,2.5076727867126465,1.0161592539284992
1528509521741666638,2.5095348358154297,1.016164971733692
1528509521749999971,2.5120468139648438,1.0161851746453736
1528509521758333304,2.5100224018096924,1.0161689106661582
1528509521766666637,2.512282371520996,1.016143244073959
1528509521774999970,2.511869192123413,1.016127488344094
1528509521783333303,2.508607864379883,1.0161078572129316
1528509521791666636,2.5112345218658447,1.0160954686350137
1528509521799999969,2.5119316577911377,1.01607323272593
1528509521808333302,2.5072193145751953,1.0160603994298305
1528509521816666636,2.5061213970184326,1.0160509332856777
1528509521824999969,2.5072031021118164,1.0160281255960748
1528509521833333302,2.5078322887420654,1.0160170076415331
1528509521841666635,2.5140483379364014,1.0159983930090717
1528509521849999968,2.521263837814331,1.0160044920012774
1528509521858333301,2.5203285217285156,1.0160149111129624
1528509521866666634,2.516977310180664,1.015996296480501
1528509521874999967,2.517242670059204,1.0160229160402323
1528509521883333300,2.5181772708892822,1.016033081027242
1528509521891666633,2.5188653469085693,1.015990261019464
1528509521899999966,2.5176641941070557,1.0159703122324575
1528509521908333299,2.51476788520813,1.0159596389960974
1528509521916666632,2.5143697261810303,1.0159504905077887
1528509521924999965,2.5117197036743164,1.0159434385480508
1528509521933333298,2.509133815765381,1.0159281275363676
1528509521941666631,2.5131850242614746,1.0158990302610524
1528509521949999964,2.5177319049835205,1.0158722201078145
1528509521958333297,2.5192039012908936,1.0158758413844369
1528509521966666630,2.517338991165161,1.0158710130156072
1528509521974999963,2.5151264667510986,1.0158625633701555
1528509521983333296,2.5143661499023438,1.0158620551208049
1528509521991666629,2.5142757892608643,1.0158192351130269
1528509522000000000,2.5100839138031006,1.0157565933805799
1528509522008333333,2.5010974407196045,1.015710088565011
1528509522016666666,2.502168655395508,1.015741218837728
1528509522024999999,2.506601572036743,1.0157578640039562
1528509522033333332,2.5002126693725586,1.0151971379080371
1528509522041666665,2.516796112060547,1.0167687084308956
1528509522049999998,2.422106981277466,1.00150540865541
1528509522058333331,2.034902334213257,0.9440598905055249
1528509522066666664,1.6686558723449707,0.8845864574472175
1528509522074999997,1.5760501623153687,0.8648618719355411
1528509522083333330,1.5449484586715698,0.8610026075549957
1528509522091666663,1.5897796154022217,0.8689288832380958
1528509522099999996,1.8943917751312256,0.9146859369502776
1528509522108333329,2.2511343955993652,0.9724660102351173
1528509522116666662,2.4013171195983887,1.0004103218986282
1528509522124999995,2.4416394233703613,1.0074149509157986
1528509522133333328,2.4734556674957275,1.0112507087638842
1528509522141666661,2.487266778945923,1.013178307956755
1528509522149999994,2.4926226139068604,1.0142383890395223
1528509522158333327,2.5054311752319336,1.0151979638132318
1528509522166666660,2.5168631076812744,1.0158880393688483
1528509522174999993,2.5152857303619385,1.0161788850596616
1528509522183333326,2.5102052688598633,1.0163382847622062
1528509522191666659,2.5112578868865967,1.0164946349686483
1528509522199999992,2.5173327922821045,1.0166659785309293
1528509522208333325,2.521259307861328,1.0167288108568828
1528509522216666658,2.5204241275787354,1.016835479689315
1528509522224999991,2.5170321464538574,1.0170098092165303
1528509522233333324,2.5217196941375732,1.0171814704346556
1528509522241666657,2.527571201324463,1.0172835650229335
1528509522249999990,2.5232934951782227,1.0173468420670686
1528509522258333323,2.5226480960845947,1.0174217453150958
1528509522266666656,2.5288639068603516,1.0174863565137757
1528509522274999990,2.5287351608276367,1.0175832415462114
1528509522283333323,2.526784658432007,1.0176808889526725
1528509522291666656,2.529529333114624,1.0177515991435584
1528509522299999989,2.532867908477783,1.017827391827949
1528509522308333322,2.535193681716919,1.0178921300889665
1528509522316666655,2.537358045578003,1.0179381266551852
1528509522324999988,2.5371627807617188,1.017961950843489
1528509522333333321,2.5330636501312256,1.0179680498356949
1528509522341666654,2.528292655944824,1.0179791042590678
1528509522349999987,2.5287153720855713,1.0180118863421739
1528509522358333320,2.528841018676758,1.0179524846993362
1528509522366666653,2.527759552001953,1.0177354622266805
1528509522374999986,2.530914783477783,1.0177106850708446
1528509522383333319,2.530268907546997,1.017890668872084
1528509522391666652,2.528931140899658,1.0179580119110228
1528509522399999985,2.53086256980896,1.0179522941058299
1528509522408333318,2.5270676612854004,1.0179569954123218
1528509522416666651,2.5237081050872803,1.017971353456473
1528509522424999984,2.5254414081573486,1.0179946058642575
1528509522433333317,2.526702880859375,1.0180257361369744
1528509522441666650,2.530460834503174,1.0180599794369631
1528509522449999983,2.5356221199035645,1.0180619489031963
1528509522458333316,2.5367183685302734,1.018072113890206
1528509522466666649,2.5375144481658936,1.0181033076940917
1528509522474999982,2.5366039276123047,1.0181057854096753
1528509522483333315,2.529690980911255,1.018105531285
1528509522491666648,2.527785301208496,1.0180860907473441
1528509522499999981,2.534804344177246,1.018059026469431
1528509522508333314,2.5381338596343994,1.0180681749577396
1528509522516666647,2.5347321033477783,1.0180387600265806
1528509522524999980,2.534656524658203,1.0179705275512785
1528509522533333313,2.5386078357696533,1.0179252933590854
1528509522541666646,2.5383553504943848,1.017906424601949
