,Current,Voltage
1528509521541666646,65.48460388183594,1.0167440583373972
1528509521549999979,65.49642181396484,1.0167199164932492
1528509521558333312,65.67635345458984,1.0167242366127285
1528509521566666645,65.72283935546875,1.0167673742763506
1528509521574999978,65.602783203125,1.016778936949074
1528509521583333311,65.52629089355469,1.0167761415776464
1528509521591666644,65.63996124267578,1.0167770310140096
1528509521599999977,65.81855010986328,1.016779889916606
1528509521608333310,65.73587799072266,1.0167981868932234
1528509521616666643,65.5765151977539,1.0168044764789357
1528509521624999976,65.63410949707031,1.0168165474010096
1528509521633333309,65.72289276123047,1.0168256958893183
1528509521641666642,65.6892318725586,1.016813053186725
1528509521649999975,65.62306213378906,1.0167924690880306
1528509521658333308,65.62001037597656,1.016762545907521
1528509521666666641,65.66674041748047,1.016754477449082
1528509521674999974,65.75369262695312,1.0167622917828456
1528509521683333307,65.71834564208984,1.0167768404205033
1528509521691666640,65.54442596435547,1.0167891019360835
1528509521699999973,65.44239807128906,1.0167751886101142
1528509521708333306,65.43472290039062,1.016759115224405
1528509521716666639,65.58209228515625,1.0167727744256994
1528509521724999972,65.68511199951172,1.0168071447880258
1528509521733333305,65.55378723144531,1.0168229005178906
1528509521741666638,65.4504165649414,1.0168250605776301
1528509521749999971,65.46009826660156,1.0168263312010064
1528509521758333304,65.60955810546875,1.0168153403088023
1528509521766666637,65.74496459960938,1.0168092413165966
1528509521774999970,65.67916870117188,1.0167760780464776
1528509521783333303,65.61861419677734,1.0167321144776609
1528509521791666636,65.59854125976562,1.0167303356049342
1528509521799999969,65.54345703125,1.0167362440036336
1528509521808333302,65.5074691772461,1.016726714328312
1528509521816666636,65.481201171875,1.0166997135815676
1528509521824999969,65.56903839111328,1.0166729034283297
1528509521833333302,65.72470092773438,1.0166565759179456
1528509521841666635,65.75947570800781,1.016627288049124
1528509521849999968,65.73710632324219,1.0166225232114632
1528509521858333301,65.75664520263672,1.016618901934841
1528509521866666634,65.86006927490234,1.0166075933867929
1528509521874999967,65.95703125,1.0166506039880774
1528509521883333300,65.9334487915039,1.0166705527750837
1528509521891666633,65.85321807861328,1.0166412013750934
1528509521899999966,65.82410430908203,1.0166157889075693
1528509521908333299,65.81845092773438,1.0165837056673201
1528509521916666632,65.79006958007812,1.0165772890192704
1528509521924999965,65.72164916992188,1.0165905035023828
1528509521933333298,65.60472869873047,1.0165789408296595
1528509521941666631,65.58340454101562,1.0165520671452526
1528509521949999964,65.70964050292969,1.0165397420985036
1528509521958333297,65.76224517822266,1.0165381538192833
1528509521966666630,65.65570068359375,1.0165115342595519
1528509521974999963,65.51921081542969,1.01650041630501
1528509521983333296,65.6036148071289,1.0165100095115003
1528509521991666629,65.7898178100586,1.0164745591193043
1528509522000000000,65.70828247070312,1.0164068348933526
1528509522008333333,65.55685424804688,1.0163426048816855
1528509522016666666,65.55828094482422,1.01639095210115
1528509522024999999,65.57949829101562,1.016443492377756
1528509522033333332,65.48432922363281,1.0158726012948274
1528509522041666665,66.25126647949219,1.0174225076891215
1528509522049999998,59.70611572265625,1.0021134654720927
1528509522058333331,42.66710662841797,0.9445573395573088
1528509522066666664,33.93362808227539,0.88501777055227
1528509522074999997,35.272621154785156,0.8653169456977287
1528509522083333330,33.7718505859375,0.8614937670210675
1528509522091666663,37.80537796020508,0.8693860535288541
1528509522099999996,59.88240051269531,0.9151420907423349
1528509522108333329,83.8556137084961,0.9730746388323191
1528509522116666662,88.19721221923828,1.00114124799579
1528509522124999995,82.18049621582031,1.0081577573415277
1528509522133333328,77.54692077636719,1.0119646720389734
1528509522141666661,73.32146453857422,1.0138591714928942
1528509522149999994,70.1238021850586,1.014921730291245
1528509522158333327,68.83248138427734,1.015879780316903
1528509522166666660,68.50704193115234,1.0165347231361674
1528509522174999993,68.26166534423828,1.0168126084685434
1528509522183333326,68.06792449951172,1.0169940534866653
1528509522191666659,67.89229583740234,1.0171587898073902
1528509522199999992,67.53311157226562,1.017340298356681
1528509522208333325,66.88536071777344,1.017411262672242
1528509522216666658,66.30013275146484,1.0174958226579285
1528509522224999991,66.07483673095703,1.0176550952981356
1528509522233333324,66.13155364990234,1.0178428934331387
1528509522241666657,66.16545867919922,1.01795388238505
1528509522249999990,66.16361236572266,1.0179960035499713
1528509522258333323,66.19312286376953,1.0180673490525451
1528509522266666656,66.17697143554688,1.0181526078810885
1528509522274999990,66.17694854736328,1.0182557189680674
1528509522283333323,66.0855484008789,1.0183572417758262
1528509522291666656,65.8983383178711,1.0184298579017763
1528509522299999989,65.95404052734375,1.0184789674952666
1528509522308333322,66.15260314941406,1.0185245828744722
1528509522316666655,66.12185668945312,1.0185656240095238
1528509522324999988,66.0915298461914,1.018574200717313
1528509522333333321,66.2087173461914,1.0185798549913372
1528509522341666654,66.30237579345703,1.01860533099003
1528509522349999987,66.3665542602539,1.0186437673471602
1528509522358333320,66.24051666259766,1.018589956447178
1528509522366666653,65.91173553466797,1.0183961863823068
1528509522374999986,65.82617950439453,1.0184030477485384
1528509522383333319,66.01348114013672,1.018578584367961
1528509522391666652,66.0093994140625,1.018593641254969
1528509522399999985,65.81790161132812,1.0185741371861443
1528509522408333318,65.76741790771484,1.0185984696237986
1528509522416666651,65.88865661621094,1.018612382949768
1528509522424999984,65.9634017944336,1.0186457368133934
1528509522433333317,65.9153823852539,1.0186834743276667
1528509522441666650,65.81507110595703,1.0187039313640236
1528509522449999983,65.73406982421875,1.0187039948951924
1528509522458333316,65.7381820678711,1.01871587522376
1528509522466666649,65.74871826171875,1.0187393817562196
