,C1-Ang [Deg],C1-Mag [Arms],C2-Ang [Deg],C2-Mag [Arms],C3-Ang [Deg],C3-Mag [Arms],L1-Ang [Deg],L1-Mag [Vrms],L2-Ang [Deg],L2-Mag [Vrms],L3-Ang [Deg],L3-Mag [Vrms],Active-Power-1 [W],Reactive-Power-1 [VAR],Apparent-Power-1 [VA],Active-Power-2 [W],Reactive-Power-2 [VAR],Apparent-Power-2 [VA],Active-Power-3 [W],Reactive-Power-3 [VAR],Apparent-Power-3 [VA],Voltage-Sag [-],Voltage-Swell [-]
1519417568391666652,345.8135070800781,39.9232177734375,234.1277618408203,38.81305694580078,126.3504409790039,30.80016326904297,321.80194091796875,122.85612487792969,201.87738037109375,122.63864135742188,82.01162719726562,122.9681396484375,4480.365755882476,-1995.871179352266,4904.811828302219,4025.631088336105,-2540.021530350973,4759.980570761254,2708.84985419269,-2647.0407939830993,3787.438778062351,False,False
1519417568399999985,345.80657958984375,40.14823913574219,234.14498901367188,38.86149597167969,126.40766906738281,30.806751251220703,321.85906982421875,122.86258697509766,201.9339599609375,122.64549255371094,82.06996154785156,122.9740219116211,4508.096923480244,-2002.1874092964779,4932.716522712144,4032.6261674072266,-2540.5644478934873,4766.187314820709,2709.609991062619,-2647.6813147793164,3788.430103393475,False,False
1519417568408333318,345.824951171875,40.19153594970703,234.2102508544922,38.9068489074707,126.34683990478516,31.134510040283203,321.9229736328125,122.8717269897461,201.99925231933594,122.65087890625,82.13350677490234,122.98719787597656,4514.885812915183,-2000.9084333305505,4938.403432510968,4037.511071707266,-2543.638945619477,4771.959213973954,2744.534194441751,-2670.185812141032,3829.146147095889,False,False
1519417568416666651,346.10595703125,39.84977340698242,234.29779052734375,38.94797897338867,126.5462646484375,31.120574951171875,321.9847412109375,122.87291717529297,202.06150817871094,122.6491928100586,82.19325256347656,122.98867797851562,4468.913479119782,-2001.0278243961666,4896.457907290343,4040.5996952233113,-2548.076235909108,4776.938182669255,2736.823975481557,-2675.702750502927,3827.4783711759374,False,False
1519417568424999984,346.451416015625,39.47334671020508,234.35687255859375,38.941192626953125,126.70907592773438,30.699954986572266,322.0428161621094,122.87379455566406,202.11810302734375,122.64724731445312,82.25010681152344,122.98312377929688,4416.733432581909,-2004.3185414939655,4850.239894094237,4039.7209803766586,-2547.767209317824,4776.0300828376785,2694.825951948984,-2644.407300341219,3775.5763641324597,False,False
1519417568433333317,346.5315246582031,39.50784683227539,234.34278869628906,38.99361038208008,126.69635009765625,30.561410903930664,322.10101318359375,122.87323760986328,202.1768798828125,122.65003204345703,82.3077163696289,122.98665618896484,4419.806166085695,-2007.7516571818987,4854.457051276259,4048.4916480518796,-2546.1083772888005,4782.5675628522,2685.971331680866,-2629.2538428832268,3758.645735491402,False,False
1519417568441666650,346.192138671875,39.87177658081055,234.29293823242188,39.127540588378906,127.01072692871094,30.643159866333008,322.15966796875,122.87205505371094,202.24012756347656,122.65555572509766,82.3694839477539,122.99728393554688,4474.445336219682,-1995.1906026567565,4899.127127126616,4067.6152614752373,-2546.9442405698983,4799.210235023929,2681.7386118773234,-2648.3637864626953,3769.0254347617156,False,False
1519417568449999983,346.0351257324219,39.81269454956055,234.33889770507812,39.183555603027344,127.20349884033203,30.705659866333008,322.2191467285156,122.87358093261719,202.30120849609375,122.65586853027344,82.4310073852539,122.99798583984375,4475.366407038906,-1975.3628689386774,4891.928345880995,4074.1218605256668,-2549.521802000853,4806.093044593581,2681.1375313825233,-2659.9292551416247,3776.7343174422854,False,False
1519417568458333316,346.49591064453125,39.315452575683594,234.40496826171875,39.22117614746094,126.9793930053711,30.8725643157959,322.2781982421875,122.8748550415039,202.35618591308594,122.65599822998047,82.48568725585938,122.99517822265625,4405.730919197281,-1981.6512866727548,4830.880536128243,4077.543611645439,-2552.7618317039146,4810.712512120721,2708.6302411348497,-2661.1786806390232,3797.1765502117346,False,False
1519417568466666649,346.8809814453125,39.035343170166016,234.45098876953125,39.223697662353516,126.93599700927734,30.94493865966797,322.33782958984375,122.8772964477539,202.41348266601562,122.65912628173828,82.54279327392578,123.00021362304688,4363.18218671184,-1992.38661648673,4796.557434660294,4078.4121193016326,-2552.188441080945,4811.1444848033425,2719.766120461054,-2662.7598488824915,3806.234065691242,False,False
1519417568474999982,346.8403015136719,39.05292510986328,234.52662658691406,39.3085823059082,126.84566497802734,30.7970027923584,322.39691162109375,122.87977600097656,202.47213745117188,122.65885162353516,82.60279846191406,123.00199890136719,4368.69960277711,-1985.7205761666537,4798.814689682912,4086.470816595594,-2558.917328978898,4821.545564591914,2713.747385302456,-2642.95724053647,3788.0929036310695,False,False
1519417568483333315,346.71307373046875,39.187076568603516,234.5535430908203,39.45170974731445,126.64533233642578,30.744274139404297,322.4538879394531,122.88290405273438,202.52745056152344,122.6579360961914,82.65960693359375,123.0,4390.2016544001535,-1978.4883769000608,4815.421770086861,4102.591893507494,-2566.1825083061813,4839.065293071588,2720.870716269113,-2626.204594342595,3781.545719146728,False,False
1519417568491666648,346.75823974609375,39.204891204833984,234.64932250976562,39.43730926513672,126.98876190185547,30.74149513244629,322.5096130371094,122.88224792480469,202.58238220214844,122.65596771240234,82.71549987792969,122.99829864501953,4392.538715870439,-1978.5677678760837,4817.585160897404,4099.198722049085,-2568.1277325767137,4837.221331888635,2707.374807187332,-2639.5509217945305,3781.151599095043,False,False
1519417568499999981,347.01129150390625,38.99799728393555,234.7803192138672,39.457183837890625,127.36390686035156,30.735265731811523,322.56158447265625,122.8736343383789,202.632080078125,122.64990234375,82.76724243164062,122.99061584472656,4362.118351270567,-1983.309513930753,4791.82565819539,4097.4119367289195,-2575.111431371866,4839.419744476676,2691.719247945549,-2654.086645524163,3780.1492605068197,False,False
1519417568508333314,347.2018127441406,38.89814758300781,234.71270751953125,39.59635925292969,127.35820770263672,30.849523544311523,322.6113586425781,122.86827850341797,202.67831420898438,122.64909362792969,82.81501770019531,122.98241424560547,4345.887584238085,-1988.8269218940086,4779.348430496058,4116.96402735057,-2576.0022047992506,4856.457573337713,2704.030440759142,-2661.252995936559,3793.948883806078,False,False
1519417568516666647,347.2209167480469,39.069854736328125,234.62210083007812,39.64149475097656,127.40574645996094,30.92314338684082,322.6654357910156,122.86787414550781,202.73338317871094,122.65210723876953,82.8681640625,122.97811126708984,4366.275680019781,-1994.9347907580761,4800.429994626436,4128.302021426586,-2568.5139545697198,4862.112865301897,2710.649609758262,-2667.2452393181397,3802.8697681550834,False,False
1519417568524999980,347.26513671875,39.20362091064453,234.69825744628906,39.56723403930664,127.40884399414062,30.97271728515625,322.7213134765625,122.86349487304688,202.7922821044922,122.64688873291016,82.9257583618164,122.9748306274414,4381.475829971045,-2000.8022025665987,4816.693876759847,4119.620773124719,-2564.834220170727,4852.798150687857,2717.4624293031916,-2668.8664186103447,3808.8646622137167,False,False
